month_year,type_of_offence,count_category,count
2009-06-01,Drug specific offences,Offences,4.0
2009-06-01,Mobile phone offences,Fines,0.0
2009-06-01,Mobile phone offences,Offences,0.0
2009-06-01,Officer-issued red light,Fines,170700.0
2009-06-01,Officer-issued red light,Offences,1138.0
2009-06-01,Restraints,Fines,784800.0
2009-06-01,Restraints,Offences,5232.0
2009-07-01,Alcohol specific offences,Fines,0.0
2009-07-01,Alcohol specific offences,Offences,2867.0
2009-07-01,Camera-issued speed offences,Fines,1946490.0
2009-07-01,Camera-issued speed offences,Offences,23171.0
2009-07-01,Drug specific offences,Offences,4.0
2009-07-01,Mobile phone offences,Fines,0.0
2009-07-01,Mobile phone offences,Offences,0.0
2009-07-01,Officer-issued red light,Fines,153450.0
2009-07-01,Officer-issued red light,Offences,1025.0
2009-07-01,Restraints,Fines,783300.0
2009-07-01,Restraints,Offences,5224.0
2009-08-01,Alcohol specific offences,Fines,0.0
2009-08-01,Alcohol specific offences,Offences,3308.0
2009-08-01,Camera-issued speed offences,Fines,2030930.0
2009-08-01,Camera-issued speed offences,Offences,25318.0
2009-08-01,Drug specific offences,Offences,3.0
2009-08-01,Mobile phone offences,Fines,0.0
2009-08-01,Mobile phone offences,Offences,0.0
2009-08-01,Officer-issued red light,Fines,169350.0
2009-08-01,Officer-issued red light,Offences,1129.0
2009-08-01,Restraints,Fines,851250.0
2009-08-01,Restraints,Offences,5676.0
2009-09-01,Alcohol specific offences,Fines,0.0
2009-09-01,Alcohol specific offences,Offences,3030.0
2009-09-01,Camera-issued speed offences,Fines,2044170.0
2009-09-01,Camera-issued speed offences,Offences,24417.0
2009-09-01,Drug specific offences,Offences,2.0
2009-09-01,Mobile phone offences,Fines,0.0
2009-09-01,Mobile phone offences,Offences,0.0
2009-09-01,Officer-issued red light,Fines,149850.0
2009-09-01,Officer-issued red light,Offences,1e3
2009-09-01,Restraints,Fines,1002600.0
2009-09-01,Restraints,Offences,6686.0
2009-10-01,Alcohol specific offences,Fines,0.0
2009-10-01,Alcohol specific offences,Offences,3122.0
2009-10-01,Camera-issued speed offences,Fines,2706680.0
2009-10-01,Camera-issued speed offences,Offences,32301.0
2009-10-01,Drug specific offences,Offences,2.0
2009-10-01,Mobile phone offences,Fines,0.0
2009-10-01,Mobile phone offences,Offences,0.0
2009-10-01,Officer-issued red light,Fines,178200.0
2009-10-01,Officer-issued red light,Offences,1188.0
2009-10-01,Restraints,Fines,891500.0
2009-10-01,Restraints,Offences,5943.0
2009-11-01,Alcohol specific offences,Fines,0.0
2009-11-01,Alcohol specific offences,Offences,2741.0
2009-11-01,Camera-issued speed offences,Fines,2686410.0
2009-11-01,Camera-issued speed offences,Offences,33533.0
2009-11-01,Drug specific offences,Offences,20.0
2009-11-01,Mobile phone offences,Fines,37510.0
2009-11-01,Mobile phone offences,Offences,468.0
2009-11-01,Officer-issued red light,Fines,148050.0
2009-11-01,Officer-issued red light,Offences,987.0
2009-11-01,Restraints,Fines,893100.0
2009-11-01,Restraints,Offences,5954.0
2009-12-01,Alcohol specific offences,Fines,0.0
2009-12-01,Alcohol specific offences,Offences,2993.0
2009-12-01,Camera-issued speed offences,Fines,2823950.0
2009-12-01,Camera-issued speed offences,Offences,32498.0
2009-12-01,Drug specific offences,Offences,39.0
2009-12-01,Mobile phone offences,Fines,36010.0
2009-12-01,Mobile phone offences,Offences,449.0
2009-12-01,Officer-issued red light,Fines,145800.0
2009-12-01,Officer-issued red light,Offences,972.0
2009-12-01,Restraints,Fines,984e3
2009-12-01,Restraints,Offences,6562.0
2010-01-01,Alcohol specific offences,Fines,0.0
2010-01-01,Alcohol specific offences,Offences,2342.0
2010-01-01,Camera-issued speed offences,Fines,2850020.0
2010-01-01,Camera-issued speed offences,Offences,29563.0
2010-01-01,Drug specific offences,Offences,20.0
2010-01-01,Mobile phone offences,Fines,36030.0
2010-01-01,Mobile phone offences,Offences,449.0
2010-01-01,Officer-issued red light,Fines,119700.0
2010-01-01,Officer-issued red light,Offences,798.0
2010-01-01,Restraints,Fines,891300.0
2010-01-01,Restraints,Offences,5943.0
2010-02-01,Alcohol specific offences,Fines,0.0
2010-02-01,Alcohol specific offences,Offences,2380.0
2010-02-01,Camera-issued speed offences,Fines,3251810.0
2010-02-01,Camera-issued speed offences,Offences,38705.0
2010-02-01,Drug specific offences,Offences,18.0
2010-02-01,Mobile phone offences,Fines,51120.0
2010-02-01,Mobile phone offences,Offences,637.0
2010-02-01,Officer-issued red light,Fines,148800.0
2010-02-01,Officer-issued red light,Offences,992.0
2010-02-01,Restraints,Fines,882450.0
2010-02-01,Restraints,Offences,5883.0
2010-03-01,Alcohol specific offences,Fines,0.0
2010-03-01,Alcohol specific offences,Offences,2456.0
2010-03-01,Camera-issued speed offences,Fines,4384020.0
2010-03-01,Camera-issued speed offences,Offences,54905.0
2010-03-01,Drug specific offences,Offences,28.0
2010-03-01,Mobile phone offences,Fines,55990.0
2010-03-01,Mobile phone offences,Offences,701.0
2010-03-01,Officer-issued red light,Fines,153450.0
2010-03-01,Officer-issued red light,Offences,1023.0
