area,sub_area,month_year,count,type_of_offence,count_category
Bay Of Plenty,Eastern Bay of Plenty,2009-01-01,38.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-02-01,35.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-03-01,39.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-04-01,27.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-05-01,49.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-06-01,34.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-07-01,43.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-08-01,41.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-09-01,48.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-10-01,50.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-11-01,40.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-12-01,64.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-01-01,27.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-02-01,49.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-03-01,32.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-04-01,35.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-05-01,74.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-06-01,64.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-07-01,38.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-08-01,37.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-09-01,55.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-10-01,41.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-11-01,15.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2010-12-01,54.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-01-01,30.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-02-01,37.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-03-01,29.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-04-01,34.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-05-01,67.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-06-01,81.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-07-01,40.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-08-01,38.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-09-01,54.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-10-01,55.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-11-01,27.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2011-12-01,57.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-01-01,24.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-02-01,26.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-03-01,36.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-04-01,31.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-05-01,45.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-06-01,34.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-07-01,33.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-08-01,55.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-09-01,32.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-10-01,23.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-11-01,23.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2012-12-01,61.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-01-01,19.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-02-01,33.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-03-01,45.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-04-01,26.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-05-01,28.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-06-01,47.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-07-01,20.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-08-01,36.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-09-01,31.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-10-01,32.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-11-01,32.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2013-12-01,26.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-01-01,18.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-02-01,21.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-03-01,30.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-04-01,20.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-05-01,48.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-06-01,32.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-07-01,41.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-08-01,38.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-09-01,22.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-10-01,32.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-11-01,34.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2014-12-01,43.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-01-01,43.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-02-01,26.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-03-01,31.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-04-01,34.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-05-01,38.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-06-01,35.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-07-01,32.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-08-01,47.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-09-01,28.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-10-01,42.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-11-01,41.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2015-12-01,58.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2016-01-01,33.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2016-02-01,32.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2016-03-01,40.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2016-04-01,37.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2016-05-01,35.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2016-06-01,33.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2016-07-01,52.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2016-08-01,53.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2016-09-01,44.0,Alcohol specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-01-01,0.0,Drug specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-02-01,0.0,Drug specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-03-01,0.0,Drug specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-04-01,0.0,Drug specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-05-01,0.0,Drug specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-06-01,0.0,Drug specific offences,Offences
Bay Of Plenty,Eastern Bay of Plenty,2009-07-01,0.0,Drug specific offences,Offences
