area,sub_area,month_year,count,type_of_offence,count_category
Bay Of Plenty,Taupo,2009-01-01,50.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-02-01,38.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-03-01,51.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-04-01,46.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-05-01,53.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-06-01,61.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-07-01,59.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-08-01,83.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-09-01,80.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-10-01,53.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-11-01,44.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2009-12-01,68.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-01-01,36.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-02-01,36.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-03-01,43.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-04-01,52.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-05-01,38.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-06-01,53.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-07-01,62.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-08-01,48.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-09-01,48.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-10-01,53.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-11-01,48.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2010-12-01,46.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-01-01,33.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-02-01,31.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-03-01,46.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-04-01,30.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-05-01,49.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-06-01,44.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-07-01,49.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-08-01,47.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-09-01,67.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-10-01,44.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-11-01,37.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2011-12-01,50.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-01-01,34.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-02-01,44.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-03-01,44.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-04-01,39.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-05-01,40.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-06-01,46.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-07-01,35.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-08-01,53.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-09-01,53.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-10-01,45.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-11-01,55.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2012-12-01,56.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-01-01,36.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-02-01,43.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-03-01,36.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-04-01,47.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-05-01,48.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-06-01,52.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-07-01,44.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-08-01,44.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-09-01,52.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-10-01,43.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-11-01,39.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2013-12-01,40.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2014-01-01,45.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2014-02-01,24.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2014-03-01,29.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2014-04-01,30.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2014-05-01,24.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2014-06-01,22.0,Alcohol specific offences,Offences
Bay Of Plenty,Taupo,2014-07-01,30.0,Alcohol specific offences,Offences
